page_url,image_url,tvshow_title,description
https://lordserials.fan/zarubezhnye-serialy/265-rjetched-v1.html,,Рэтчед,"1947 год. Используя грязные махинации, Милдред Рэтчед устраивается медсестрой в психиатрическую больницу. Новенькую с первого взгляда невзлюбила старшая медсестра Бакет, главврач уже повязан с Милдред соучастием в преступлении, и это только начало. Сестра Рэтчед развернёт в больнице и за её пределами свою подлую деятельность. Она будет использовать всевозможные уловки, манипуляции и шантаж, чтобы избавить от смертной казни своего брата — нового пациента лечебницы и опасного психопата, убившего нескольких человек."
https://lordserials.fan/zarubezhnye-serialy/2293-ulovka-22.html,,Уловка-22,"Вторая мировая война. Джон Йоссариан - бомбардир ВВС США, который всеми силами пытается убраться подальше от войны и поскорее выйти запас. Но для этого ему нужно совершить определённое количество боевых вылетов, согласно установленной норме. Однако его командир, выслуживая очередной чин, постоянно повышает норму. Йоссариан начинает придумывать способы обмануть систему, что осложняет и без того непростую ситуацию и приводит к непредсказуемым последствиям."
https://lordserials.fan/zarubezhnye-serialy/301-bereg-moskitov-v3.html,,Берег москитов,"Правительство США разыскивает эксцентричного изобретателя Элли Фокса, который вместе с женой и двумя детьми бежал в Мексику."
https://lordserials.fan/zarubezhnye-serialy/4-loki-s2.html,,Локи,"В 1985-ом году в городе Ошкош, расположенном в штате Висконсин, злобный двойник Локи устраивает засаду на охотников Управления временными изменениями, организации, следящей за правильным течением событий в альтернативных мирах. Настоящее божество обмана, которое вынуждено сотрудничать с Мобиусом, прибывает на место. Однако, противодействовать своей копии он не особо желает, а лишь хочет заслужить возможность поговорить с Хранителями. Пленители раскрывают подлый ход главного героя и судья Равонна Ренслейер хочет его ""перезапустить"", а по сути просто стереть личность. Однако, Мобиусу удается убедить дать второй шанс заключенному. Ко преследует Двойника и вскоре приходит в выводу, что последний использует области, которые не может просматривать УВИ, чтобы вершить темные дела. К тому же Локи узнает, что если не будет сотрудничать с Управлением, то загубит множество жизней."
https://lordserials.fan/zarubezhnye-serialy/2136-dni-kotoryh-ne-bylo.html,,"Дни, которых не было","Мириам, Дорис, Инес и Кристиана дружат со школьных лет. Им предстоит столкнуться с тайнами прошлого. Для успешного прокурора и матери троих детей Мириам эти тайны ставят под угрозу ее брак. Дорис успешно руководит транспортной компанией, но продолжает находиться в тени властной матери, контролирующей любой её шаг. Инес много лет прожила в Париже, но всё же вынуждена была вернуться в Цольберг. Она надеется, что смена места поможет её сыну наконец отказаться от наркотиков. Писательница Кристиана переживает ужасную утрату маленького сына, покончившего с собой из-за директора элитной школы, но с помощью подруг пытается вернуться к нормальной жизни. В жизнь четверых подруг врываются инспекторы Грюнбергер и Леодольтер из Вены, которым поручили возобновить расследование самоубийства директора школы, которое произошло несколько лет назад. Дружба подруг подвергается испытанию."
https://lordserials.fan/zarubezhnye-serialy/1529-nevinnye.html,,Невинные,"Быть подростком непросто, а если ты ещё и оборотень, взросление превращается в натуральный кошмар. 16-летняя Джун сбегает со своим бойфрендом из-под надзора строгого отца. Однако девушка не зря находилась под присмотром: она ещё не очень хорошо контролирует свои способности. Может быть, ей поможет профессор Халворсон..."
https://lordserials.fan/zarubezhnye-serialy/1749-sanni-s1.html,,Санни,"Сьюзи Престон, экспатриантка из США, жила размеренной жизнью в Киото со своим мужем Масой и маленьким сыном Наото. Идиллия рушится, когда их самолёт бесследно исчезает над Тихим океаном. Опустошённая Сьюзи получает от компании Масы Sunvalley Technologies необычный подарок — робота-помощника по имени Санни. Сначала она холодно встречает эту высокотехнологичную замену семьи, но постепенно Санни завоёвывает её доверие. Санни оказывается не просто бытовым помощником. Он обладает передовыми аналитическими способностями и доступом к секретным данным Sunvalley. Сьюзи начинает подозревать, что исчезновение Масы и Наото не было случайностью, а связано с тёмными тайнами компании."
https://lordserials.fan/zarubezhnye-serialy/1860-proshloj-nochju-v-tremore-b1.html,,Прошлой ночью в Треморе,"Успешный музыкант и композитор Питер Харпер, сыскавший известность благодаря написанным им саундтрекам, оказывается в незавидной жизненной ситуации. Он тяжело переживает развод, который всерьез его травмировал. Из-за всех эмоций и неприятных мыслей мужчина совершенно не может заниматься работой и творить."
https://lordserials.fan/zarubezhnye-serialy/1435-dzhango.html,,Джанго,Стрелок Джанго ищет свою дочь.
https://lordserials.fan/zarubezhnye-serialy/1562-gorod-v-ogne.html,,Город в огне,"Чарли пытается раскрыть убийство своей лучшей подруги Саманты, которая была застрелена в Центральном парке. Параллельно с ним полиция ищет людей, которые могли быть причастны к преступлению."
